caseId,category,format,family,formatKey,inputPath,caseFolderPath,status,baselineWon,winnerAccepted,winnerKind,winnerStrategyLabel,baselineAggregate,winnerAggregate,delta,baselineConfidence,winnerConfidence,winnerConfidenceDelta,reviewPriority,whyReview,shortSummary,topTags,topRejectionReasons,dominantTags,dominantPenalties,issueCodes,structuralStatus,verdict,score,bestRejectedCandidateKind,bestRejectedCandidateId,bestRejectedCandidateStrategy,bestRejectedCandidateAggregate,bestRejectedCandidateDelta,bestRejectedCandidateConfidence,bestRejectedCandidateRejectionReasons,bestRejectedCandidatePrimaryBlocker,bestRejectedCandidateOnlyBlockedByOneGate,bestRejectedCandidateWouldBeatBaseline,bestRejectedCandidateWouldImproveConfidence,hasPositiveRejectedCandidate,hasSingleGateBlockedCandidate,blockedByRolePlacement,blockedByLegacySafety,blockedByNoNetGain,blockedBySpacing,blockedByAggregateBelowBaseline,needsHumanAttention,humanVerdictPresent,fixedVsBaseline,humanAcceptedWinner,machineHumanAgreement,agreementType,reportPath,telemetryPath,calibrationPath,winnerPath,baselinePath,notesPath,previewBaselinePath,previewWinnerPath
"geometric-modern-layout-01-png","structure","square","display","social-square","C:\Users\Fedelesh_dm\mvp\dataset\_cases\structure\square\geometric-modern-layout-01-png\input.png","C:\Users\Fedelesh_dm\mvp\dataset\_cases\structure\square\geometric-modern-layout-01-png","success","true","false","local-structural-repair","current","50","50","0","0","0","0","urgent-review","Baseline retained despite available repair candidates","Baseline retained; candidates were blocked by no-net-gain or failed to deliver a safe net gain.","insufficient-breathing-room|structural-drift","no-net-gain|role-placement-out-of-zone|aggregate-below-baseline|legacy-safety-rejection","insufficient-breathing-room|structural-drift","weak-balance|insufficient-net-gain","structural-minimum-spacing|violates-image-footprint-rule|violates-allowed-zone|structural-role-placement","invalid","Poor","0","validated-run-autofix","validated-run-autofix:validated-run-autofix:{""title"":{""x"":8,""y"":57.4,""w"":42.6,""h"":27.8,""fontSize"":92,""maxLines"":3,""charsPerLine"":21},""subtitle"":{""x"":6.7,""y"":57.4,""w"":34.7,""h"":27.8,""fontSize"":30,""opacity"":0.9},""cta"":{""x"":8,""y"":87.3,""w"":20,""h"":6},""badge"":{""x"":77.6,""y"":16.7,""w"":12,""h"":5,""opacity"":0},""logo"":{""x"":6.7,""y"":6.7,""w"":11.5,""h"":5},""image"":{""x"":62,""y"":13,""w"":30,""h"":34,""opacity"":0,""fit"":""""}}","validated-run-autofix","50","0","0","legacy-safety-rejection|role-placement-out-of-zone|no-net-gain","role-placement-out-of-zone","false","false","false","false","false","true","true","true","false","false","true","false","","","","","C:\Users\Fedelesh_dm\mvp\dataset\_cases\structure\square\geometric-modern-layout-01-png\report.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\structure\square\geometric-modern-layout-01-png\telemetry.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\structure\square\geometric-modern-layout-01-png\calibration.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\structure\square\geometric-modern-layout-01-png\winner.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\structure\square\geometric-modern-layout-01-png\baseline.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\structure\square\geometric-modern-layout-01-png\notes.json","",""
"hero-product-red-tag-urgency-02-png","hero","square","display","social-square","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-red-tag-urgency-02-png\input.png","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-red-tag-urgency-02-png","success","true","false","local-structural-repair","current","50","50","0","0","0","0","urgent-review","Baseline retained despite available repair candidates","Baseline retained; candidates were blocked by no-net-gain or failed to deliver a safe net gain.","insufficient-breathing-room|structural-drift","no-net-gain|role-placement-out-of-zone|aggregate-below-baseline|legacy-safety-rejection","insufficient-breathing-room|structural-drift","weak-balance|insufficient-net-gain","structural-minimum-spacing|violates-image-footprint-rule|violates-allowed-zone|structural-role-placement","invalid","Poor","0","validated-run-autofix","validated-run-autofix:validated-run-autofix:{""title"":{""x"":8,""y"":57.4,""w"":42.6,""h"":27.8,""fontSize"":92,""maxLines"":3,""charsPerLine"":21},""subtitle"":{""x"":6.7,""y"":57.4,""w"":34.7,""h"":27.8,""fontSize"":30,""opacity"":0.9},""cta"":{""x"":8,""y"":87.3,""w"":20,""h"":6},""badge"":{""x"":77.6,""y"":16.7,""w"":12,""h"":5,""opacity"":0},""logo"":{""x"":6.7,""y"":6.7,""w"":11.5,""h"":5},""image"":{""x"":62,""y"":13,""w"":30,""h"":34,""opacity"":0,""fit"":""""}}","validated-run-autofix","50","0","0","legacy-safety-rejection|role-placement-out-of-zone|no-net-gain","role-placement-out-of-zone","false","false","false","false","false","true","true","true","false","false","true","false","","","","","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-red-tag-urgency-02-png\report.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-red-tag-urgency-02-png\telemetry.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-red-tag-urgency-02-png\calibration.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-red-tag-urgency-02-png\winner.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-red-tag-urgency-02-png\baseline.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-red-tag-urgency-02-png\notes.json","",""
"hero-product-soft-shapes-01-png","hero","square","display","social-square","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-soft-shapes-01-png\input.png","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-soft-shapes-01-png","success","true","false","local-structural-repair","current","50","50","0","0","0","0","urgent-review","Baseline retained despite available repair candidates","Baseline retained; candidates were blocked by no-net-gain or failed to deliver a safe net gain.","insufficient-breathing-room|structural-drift","no-net-gain|role-placement-out-of-zone|aggregate-below-baseline|legacy-safety-rejection","insufficient-breathing-room|structural-drift","weak-balance|insufficient-net-gain","structural-minimum-spacing|violates-image-footprint-rule|violates-allowed-zone|structural-role-placement","invalid","Poor","0","validated-run-autofix","validated-run-autofix:validated-run-autofix:{""title"":{""x"":8,""y"":57.4,""w"":42.6,""h"":27.8,""fontSize"":92,""maxLines"":3,""charsPerLine"":21},""subtitle"":{""x"":6.7,""y"":57.4,""w"":34.7,""h"":27.8,""fontSize"":30,""opacity"":0.9},""cta"":{""x"":8,""y"":87.3,""w"":20,""h"":6},""badge"":{""x"":77.6,""y"":16.7,""w"":12,""h"":5,""opacity"":0},""logo"":{""x"":6.7,""y"":6.7,""w"":11.5,""h"":5},""image"":{""x"":62,""y"":13,""w"":30,""h"":34,""opacity"":0,""fit"":""""}}","validated-run-autofix","50","0","0","legacy-safety-rejection|role-placement-out-of-zone|no-net-gain","role-placement-out-of-zone","false","false","false","false","false","true","true","true","false","false","true","false","","","","","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-soft-shapes-01-png\report.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-soft-shapes-01-png\telemetry.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-soft-shapes-01-png\calibration.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-soft-shapes-01-png\winner.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-soft-shapes-01-png\baseline.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\hero-product-soft-shapes-01-png\notes.json","",""
"inefficient-layout-banner-04-png","spacing","square","display","social-square","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-banner-04-png\input.png","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-banner-04-png","success","true","false","local-structural-repair","current","50","50","0","0","0","0","urgent-review","Baseline retained despite available repair candidates","Baseline retained; candidates were blocked by no-net-gain or failed to deliver a safe net gain.","insufficient-breathing-room|structural-drift","no-net-gain|role-placement-out-of-zone|aggregate-below-baseline|legacy-safety-rejection","insufficient-breathing-room|structural-drift","weak-balance|insufficient-net-gain","structural-minimum-spacing|violates-image-footprint-rule|violates-allowed-zone|structural-role-placement","invalid","Poor","0","validated-run-autofix","validated-run-autofix:validated-run-autofix:{""title"":{""x"":8,""y"":57.4,""w"":42.6,""h"":27.8,""fontSize"":92,""maxLines"":3,""charsPerLine"":21},""subtitle"":{""x"":6.7,""y"":57.4,""w"":34.7,""h"":27.8,""fontSize"":30,""opacity"":0.9},""cta"":{""x"":8,""y"":87.3,""w"":20,""h"":6},""badge"":{""x"":77.6,""y"":16.7,""w"":12,""h"":5,""opacity"":0},""logo"":{""x"":6.7,""y"":6.7,""w"":11.5,""h"":5},""image"":{""x"":62,""y"":13,""w"":30,""h"":34,""opacity"":0,""fit"":""""}}","validated-run-autofix","50","0","0","legacy-safety-rejection|role-placement-out-of-zone|no-net-gain","role-placement-out-of-zone","false","false","false","false","false","true","true","true","false","false","true","false","","","","","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-banner-04-png\report.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-banner-04-png\telemetry.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-banner-04-png\calibration.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-banner-04-png\winner.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-banner-04-png\baseline.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-banner-04-png\notes.json","",""
"inefficient-layout-blue-grid-01-png","spacing","square","display","social-square","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-blue-grid-01-png\input.png","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-blue-grid-01-png","success","true","false","local-structural-repair","current","50","50","0","0","0","0","urgent-review","Baseline retained despite available repair candidates","Baseline retained; candidates were blocked by no-net-gain or failed to deliver a safe net gain.","insufficient-breathing-room|structural-drift","no-net-gain|role-placement-out-of-zone|aggregate-below-baseline|legacy-safety-rejection","insufficient-breathing-room|structural-drift","weak-balance|insufficient-net-gain","structural-minimum-spacing|violates-image-footprint-rule|violates-allowed-zone|structural-role-placement","invalid","Poor","0","validated-run-autofix","validated-run-autofix:validated-run-autofix:{""title"":{""x"":8,""y"":57.4,""w"":42.6,""h"":27.8,""fontSize"":92,""maxLines"":3,""charsPerLine"":21},""subtitle"":{""x"":6.7,""y"":57.4,""w"":34.7,""h"":27.8,""fontSize"":30,""opacity"":0.9},""cta"":{""x"":8,""y"":87.3,""w"":20,""h"":6},""badge"":{""x"":77.6,""y"":16.7,""w"":12,""h"":5,""opacity"":0},""logo"":{""x"":6.7,""y"":6.7,""w"":11.5,""h"":5},""image"":{""x"":62,""y"":13,""w"":30,""h"":34,""opacity"":0,""fit"":""""}}","validated-run-autofix","50","0","0","legacy-safety-rejection|role-placement-out-of-zone|no-net-gain","role-placement-out-of-zone","false","false","false","false","false","true","true","true","false","false","true","false","","","","","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-blue-grid-01-png\report.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-blue-grid-01-png\telemetry.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-blue-grid-01-png\calibration.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-blue-grid-01-png\winner.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-blue-grid-01-png\baseline.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-blue-grid-01-png\notes.json","",""
"inefficient-layout-card-variations-02-png","spacing","square","display","social-square","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-card-variations-02-png\input.png","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-card-variations-02-png","success","true","false","local-structural-repair","current","50","50","0","0","0","0","urgent-review","Baseline retained despite available repair candidates","Baseline retained; candidates were blocked by no-net-gain or failed to deliver a safe net gain.","insufficient-breathing-room|structural-drift","no-net-gain|role-placement-out-of-zone|aggregate-below-baseline|legacy-safety-rejection","insufficient-breathing-room|structural-drift","weak-balance|insufficient-net-gain","structural-minimum-spacing|violates-image-footprint-rule|violates-allowed-zone|structural-role-placement","invalid","Poor","0","validated-run-autofix","validated-run-autofix:validated-run-autofix:{""title"":{""x"":8,""y"":57.4,""w"":42.6,""h"":27.8,""fontSize"":92,""maxLines"":3,""charsPerLine"":21},""subtitle"":{""x"":6.7,""y"":57.4,""w"":34.7,""h"":27.8,""fontSize"":30,""opacity"":0.9},""cta"":{""x"":8,""y"":87.3,""w"":20,""h"":6},""badge"":{""x"":77.6,""y"":16.7,""w"":12,""h"":5,""opacity"":0},""logo"":{""x"":6.7,""y"":6.7,""w"":11.5,""h"":5},""image"":{""x"":62,""y"":13,""w"":30,""h"":34,""opacity"":0,""fit"":""""}}","validated-run-autofix","50","0","0","legacy-safety-rejection|role-placement-out-of-zone|no-net-gain","role-placement-out-of-zone","false","false","false","false","false","true","true","true","false","false","true","false","","","","","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-card-variations-02-png\report.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-card-variations-02-png\telemetry.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-card-variations-02-png\calibration.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-card-variations-02-png\winner.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-card-variations-02-png\baseline.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-card-variations-02-png\notes.json","",""
"inefficient-layout-circle-focus-03-png","spacing","square","display","social-square","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-circle-focus-03-png\input.png","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-circle-focus-03-png","success","true","false","local-structural-repair","current","50","50","0","0","0","0","urgent-review","Baseline retained despite available repair candidates","Baseline retained; candidates were blocked by no-net-gain or failed to deliver a safe net gain.","insufficient-breathing-room|structural-drift","no-net-gain|role-placement-out-of-zone|aggregate-below-baseline|legacy-safety-rejection","insufficient-breathing-room|structural-drift","weak-balance|insufficient-net-gain","structural-minimum-spacing|violates-image-footprint-rule|violates-allowed-zone|structural-role-placement","invalid","Poor","0","validated-run-autofix","validated-run-autofix:validated-run-autofix:{""title"":{""x"":8,""y"":57.4,""w"":42.6,""h"":27.8,""fontSize"":92,""maxLines"":3,""charsPerLine"":21},""subtitle"":{""x"":6.7,""y"":57.4,""w"":34.7,""h"":27.8,""fontSize"":30,""opacity"":0.9},""cta"":{""x"":8,""y"":87.3,""w"":20,""h"":6},""badge"":{""x"":77.6,""y"":16.7,""w"":12,""h"":5,""opacity"":0},""logo"":{""x"":6.7,""y"":6.7,""w"":11.5,""h"":5},""image"":{""x"":62,""y"":13,""w"":30,""h"":34,""opacity"":0,""fit"":""""}}","validated-run-autofix","50","0","0","legacy-safety-rejection|role-placement-out-of-zone|no-net-gain","role-placement-out-of-zone","false","false","false","false","false","true","true","true","false","false","true","false","","","","","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-circle-focus-03-png\report.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-circle-focus-03-png\telemetry.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-circle-focus-03-png\calibration.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-circle-focus-03-png\winner.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-circle-focus-03-png\baseline.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\spacing\square\inefficient-layout-circle-focus-03-png\notes.json","",""
"minimal-product-display-glass-01-png","hero","square","display","social-square","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\minimal-product-display-glass-01-png\input.png","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\minimal-product-display-glass-01-png","success","true","false","local-structural-repair","current","50","50","0","0","0","0","urgent-review","Baseline retained despite available repair candidates","Baseline retained; candidates were blocked by no-net-gain or failed to deliver a safe net gain.","insufficient-breathing-room|structural-drift","no-net-gain|role-placement-out-of-zone|aggregate-below-baseline|legacy-safety-rejection","insufficient-breathing-room|structural-drift","weak-balance|insufficient-net-gain","structural-minimum-spacing|violates-image-footprint-rule|violates-allowed-zone|structural-role-placement","invalid","Poor","0","validated-run-autofix","validated-run-autofix:validated-run-autofix:{""title"":{""x"":8,""y"":57.4,""w"":42.6,""h"":27.8,""fontSize"":92,""maxLines"":3,""charsPerLine"":21},""subtitle"":{""x"":6.7,""y"":57.4,""w"":34.7,""h"":27.8,""fontSize"":30,""opacity"":0.9},""cta"":{""x"":8,""y"":87.3,""w"":20,""h"":6},""badge"":{""x"":77.6,""y"":16.7,""w"":12,""h"":5,""opacity"":0},""logo"":{""x"":6.7,""y"":6.7,""w"":11.5,""h"":5},""image"":{""x"":62,""y"":13,""w"":30,""h"":34,""opacity"":0,""fit"":""""}}","validated-run-autofix","50","0","0","legacy-safety-rejection|role-placement-out-of-zone|no-net-gain","role-placement-out-of-zone","false","false","false","false","false","true","true","true","false","false","true","false","","","","","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\minimal-product-display-glass-01-png\report.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\minimal-product-display-glass-01-png\telemetry.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\minimal-product-display-glass-01-png\calibration.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\minimal-product-display-glass-01-png\winner.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\minimal-product-display-glass-01-png\baseline.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\minimal-product-display-glass-01-png\notes.json","",""
"sq-balance-empty-hero-png","hero","square","display","social-square","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\sq-balance-empty-hero-png\input.png","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\sq-balance-empty-hero-png","success","true","false","local-structural-repair","current","50","50","0","0","0","0","urgent-review","Baseline retained despite available repair candidates","Baseline retained; candidates were blocked by no-net-gain or failed to deliver a safe net gain.","insufficient-breathing-room|structural-drift","no-net-gain|role-placement-out-of-zone|aggregate-below-baseline|legacy-safety-rejection","insufficient-breathing-room|structural-drift","weak-balance|insufficient-net-gain","structural-minimum-spacing|violates-image-footprint-rule|violates-allowed-zone|structural-role-placement","invalid","Poor","0","validated-run-autofix","validated-run-autofix:validated-run-autofix:{""title"":{""x"":8,""y"":57.4,""w"":42.6,""h"":27.8,""fontSize"":92,""maxLines"":3,""charsPerLine"":21},""subtitle"":{""x"":6.7,""y"":57.4,""w"":34.7,""h"":27.8,""fontSize"":30,""opacity"":0.9},""cta"":{""x"":8,""y"":87.3,""w"":20,""h"":6},""badge"":{""x"":77.6,""y"":16.7,""w"":12,""h"":5,""opacity"":0},""logo"":{""x"":6.7,""y"":6.7,""w"":11.5,""h"":5},""image"":{""x"":62,""y"":13,""w"":30,""h"":34,""opacity"":0,""fit"":""""}}","validated-run-autofix","50","0","0","legacy-safety-rejection|role-placement-out-of-zone|no-net-gain","role-placement-out-of-zone","false","false","false","false","false","true","true","true","false","false","true","false","","","","","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\sq-balance-empty-hero-png\report.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\sq-balance-empty-hero-png\telemetry.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\sq-balance-empty-hero-png\calibration.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\sq-balance-empty-hero-png\winner.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\sq-balance-empty-hero-png\baseline.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\hero\square\sq-balance-empty-hero-png\notes.json","",""
"sq-balance-empty-right-minimal","balance","square","display","social-square","C:\Users\Fedelesh_dm\mvp\dataset\_cases\balance\square\sq-balance-empty-right-minimal\input.png","C:\Users\Fedelesh_dm\mvp\dataset\_cases\balance\square\sq-balance-empty-right-minimal","success","true","false","local-structural-repair","current","50","50","0","0","0","0","urgent-review","Baseline retained despite available repair candidates","Baseline retained; candidates were blocked by no-net-gain or failed to deliver a safe net gain.","insufficient-breathing-room|structural-drift","no-net-gain|role-placement-out-of-zone|aggregate-below-baseline|legacy-safety-rejection","insufficient-breathing-room|structural-drift","weak-balance|insufficient-net-gain","structural-minimum-spacing|violates-image-footprint-rule|violates-allowed-zone|structural-role-placement","invalid","Poor","0","validated-run-autofix","validated-run-autofix:validated-run-autofix:{""title"":{""x"":8,""y"":57.4,""w"":42.6,""h"":27.8,""fontSize"":92,""maxLines"":3,""charsPerLine"":21},""subtitle"":{""x"":6.7,""y"":57.4,""w"":34.7,""h"":27.8,""fontSize"":30,""opacity"":0.9},""cta"":{""x"":8,""y"":87.3,""w"":20,""h"":6},""badge"":{""x"":77.6,""y"":16.7,""w"":12,""h"":5,""opacity"":0},""logo"":{""x"":6.7,""y"":6.7,""w"":11.5,""h"":5},""image"":{""x"":62,""y"":13,""w"":30,""h"":34,""opacity"":0,""fit"":""""}}","validated-run-autofix","50","0","0","legacy-safety-rejection|role-placement-out-of-zone|no-net-gain","role-placement-out-of-zone","false","false","false","false","false","true","true","true","false","false","true","false","","","","","C:\Users\Fedelesh_dm\mvp\dataset\_cases\balance\square\sq-balance-empty-right-minimal\report.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\balance\square\sq-balance-empty-right-minimal\telemetry.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\balance\square\sq-balance-empty-right-minimal\calibration.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\balance\square\sq-balance-empty-right-minimal\winner.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\balance\square\sq-balance-empty-right-minimal\baseline.json","C:\Users\Fedelesh_dm\mvp\dataset\_cases\balance\square\sq-balance-empty-right-minimal\notes.json","",""
